Cod_Region,Nombre_Region,Cod_Provincia,Nombre_Provincia,Cod_Comuna_2018,Nombre_Comuna
1,Tarapaca,11,Iquique,1101,Iquique
1,Tarapaca,11,Iquique,1107,Alto Hospicio
1,Tarapaca,14,Tamarugal,1401,Pozo Almonte
1,Tarapaca,14,Tamarugal,1402,Camina
1,Tarapaca,14,Tamarugal,1403,Colchane
1,Tarapaca,14,Tamarugal,1404,Huara
1,Tarapaca,14,Tamarugal,1405,Pica
2,Antofagasta,21,Antofagasta,2101,Antofagasta
2,Antofagasta,21,Antofagasta,2102,Mejillones
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda
2,Antofagasta,21,Antofagasta,2104,Taltal
2,Antofagasta,22,El Loa,2201,Calama
2,Antofagasta,22,El Loa,2202,Ollague
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama
2,Antofagasta,23,Tocopilla,2301,Tocopilla
2,Antofagasta,23,Tocopilla,2302,Maria Elena
3,Atacama,31,Copiapo,3101,Copiapo
3,Atacama,31,Copiapo,3102,Caldera
3,Atacama,31,Copiapo,3103,Tierra Amarilla
3,Atacama,32,Chanaral,3201,Chanaral
3,Atacama,32,Chanaral,3202,Diego de Almagro
3,Atacama,33,Huasco,3301,Vallenar
3,Atacama,33,Huasco,3302,Alto del Carmen
3,Atacama,33,Huasco,3303,Freirina
3,Atacama,33,Huasco,3304,Huasco
4,Coquimbo,41,Elqui,4101,La Serena
4,Coquimbo,41,Elqui,4102,Coquimbo
4,Coquimbo,41,Elqui,4103,Andacollo
4,Coquimbo,41,Elqui,4104,La Higuera
4,Coquimbo,41,Elqui,4105,Paiguano
4,Coquimbo,41,Elqui,4106,Vicuna
4,Coquimbo,42,Choapa,4201,Illapel
4,Coquimbo,42,Choapa,4202,Canela
4,Coquimbo,42,Choapa,4203,Los Vilos
4,Coquimbo,42,Choapa,4204,Salamanca
4,Coquimbo,43,Limari,4301,Ovalle
4,Coquimbo,43,Limari,4302,Combarbala
4,Coquimbo,43,Limari,4303,Monte Patria
4,Coquimbo,43,Limari,4304,Punitaqui
4,Coquimbo,43,Limari,4305,Rio Hurtado
5,Valparaiso,51,Valparaiso,5101,Valparaiso
5,Valparaiso,51,Valparaiso,5102,Casablanca
5,Valparaiso,51,Valparaiso,5103,Concon
5,Valparaiso,51,Valparaiso,5104,Juan Fernandez
5,Valparaiso,51,Valparaiso,5105,Puchuncavi
5,Valparaiso,51,Valparaiso,5107,Quintero
5,Valparaiso,51,Valparaiso,5109,Vina del Mar
5,Valparaiso,52,Isla de Pascua,5201,Isla de Pascua
5,Valparaiso,53,Los Andes,5301,Los Andes
5,Valparaiso,53,Los Andes,5302,Calle Larga
5,Valparaiso,53,Los Andes,5303,Rinconada
5,Valparaiso,53,Los Andes,5304,San Esteban
5,Valparaiso,54,Petorca,5401,La Ligua
5,Valparaiso,54,Petorca,5402,Cabildo
5,Valparaiso,54,Petorca,5403,Papudo
5,Valparaiso,54,Petorca,5404,Petorca
5,Valparaiso,54,Petorca,5405,Zapallar
5,Valparaiso,55,Quillota,5501,Quillota
5,Valparaiso,55,Quillota,5502,Calera
5,Valparaiso,55,Quillota,5503,Hijuelas
5,Valparaiso,55,Quillota,5504,La Cruz
5,Valparaiso,55,Quillota,5506,Nogales
5,Valparaiso,56,San Antonio,5601,San Antonio
5,Valparaiso,56,San Antonio,5602,Algarrobo
5,Valparaiso,56,San Antonio,5603,Cartagena
5,Valparaiso,56,San Antonio,5604,El Quisco
5,Valparaiso,56,San Antonio,5605,El Tabo
5,Valparaiso,56,San Antonio,5606,Santo Domingo
5,Valparaiso,57,San Felipe de Aconcagua,5701,San Felipe
5,Valparaiso,57,San Felipe de Aconcagua,5702,Catemu
5,Valparaiso,57,San Felipe de Aconcagua,5703,Llaillay
5,Valparaiso,57,San Felipe de Aconcagua,5704,Panquehue
5,Valparaiso,57,San Felipe de Aconcagua,5705,Putaendo
5,Valparaiso,57,San Felipe de Aconcagua,5706,Santa Maria
5,Valparaiso,58,Marga Marga,5801,Quilpue
5,Valparaiso,58,Marga Marga,5802,Limache
5,Valparaiso,58,Marga Marga,5803,Olmue
5,Valparaiso,58,Marga Marga,5804,Villa Alemana
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Donihue
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machali
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requinoa
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chepica
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz
7,Maule,71,Talca,7101,Talca
7,Maule,71,Talca,7102,Constitucion
7,Maule,71,Talca,7103,Curepto
7,Maule,71,Talca,7104,Empedrado
7,Maule,71,Talca,7105,Maule
7,Maule,71,Talca,7106,Pelarco
7,Maule,71,Talca,7107,Pencahue
7,Maule,71,Talca,7108,Rio Claro
7,Maule,71,Talca,7109,San Clemente
7,Maule,71,Talca,7110,San Rafael
7,Maule,72,Cauquenes,7201,Cauquenes
7,Maule,72,Cauquenes,7202,Chanco
7,Maule,72,Cauquenes,7203,Pelluhue
7,Maule,73,Curico,7301,Curico
7,Maule,73,Curico,7302,Hualane
7,Maule,73,Curico,7303,Licanten
7,Maule,73,Curico,7304,Molina
7,Maule,73,Curico,7305,Rauco
7,Maule,73,Curico,7306,Romeral
7,Maule,73,Curico,7307,Sagrada Familia
7,Maule,73,Curico,7308,Teno
7,Maule,73,Curico,7309,Vichuquen
7,Maule,74,Linares,7401,Linares
7,Maule,74,Linares,7402,Colbun
7,Maule,74,Linares,7403,Longavi
7,Maule,74,Linares,7404,Parral
7,Maule,74,Linares,7405,Retiro
7,Maule,74,Linares,7406,San Javier
7,Maule,74,Linares,7407,Villa Alegre
7,Maule,74,Linares,7408,Yerbas Buenas
8,Biobio,81,Concepcion,8101,Concepcion
8,Biobio,81,Concepcion,8102,Coronel
8,Biobio,81,Concepcion,8103,Chiguayante
8,Biobio,81,Concepcion,8104,Florida
8,Biobio,81,Concepcion,8105,Hualqui
8,Biobio,81,Concepcion,8106,Lota
8,Biobio,81,Concepcion,8107,Penco
8,Biobio,81,Concepcion,8108,San Pedro de la Paz
8,Biobio,81,Concepcion,8109,Santa Juana
8,Biobio,81,Concepcion,8110,Talcahuano
8,Biobio,81,Concepcion,8111,Tome
8,Biobio,81,Concepcion,8112,Hualpen
8,Biobio,82,Arauco,8201,Lebu
8,Biobio,82,Arauco,8202,Arauco
8,Biobio,82,Arauco,8203,Canete
8,Biobio,82,Arauco,8204,Contulmo
8,Biobio,82,Arauco,8205,Curanilahue
8,Biobio,82,Arauco,8206,Los Alamos
8,Biobio,82,Arauco,8207,Tirua
